"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"somclid_prkm"
"ENSMUSG00000055760_Gemin6"	56.43	26.27	13.61	7.65	7.435	3.735	4.625	4.545	1
"ENSMUSG00000028795_Ccdc28b"	4.335	3.45	19.33	32.88	56.625	40.27	31.615	19.935	7
"ENSMUSG00000017453_Pipox"	53.695	49.92	2.06	0.77	2.565	0.12	0.145	0.14	1
"ENSMUSG00000070287_Tmem22"	0.23	0.31	3.57	2.03	5.85	26.38	41.17	56.68	10
"ENSMUSG00000023027_Atf1"	53.99	53.05	24.86	16.435	7.71	3.3	3.185	3.665	2
"ENSMUSG00000020733_Slc9a3r1"	45.585	37.49	9.69	11.6	13.23	2.03	1.165	1.055	1
"ENSMUSG00000029249_Rest"	54.94	43.04	12.54	8.565	3.93	1.31	1.165	1.325	1
"ENSMUSG00000046157_Tmem229b"	1.025	0.73	4.48	14.59	45.65	55.005	55.56	40.85	9
"ENSMUSG00000032826_Ank2"	1.58	2.49	22.69	24.595	31.76	53.78	46.295	54.65	9
"ENSMUSG00000060288_Ppih"	54.065	40.19	36.76	16.97	14.03	7.325	6.705	6.065	2
"ENSMUSG00000030731_Syt3"	2.085	1.1	0.62	0.765	24.03	47.055	55.36	55.685	10
"ENSMUSG00000020785_Camkk1"	2.4	1.03	1.36	3.4	14.55	25.515	30.815	55.36	10
"ENSMUSG00000020536_Llgl1"	26.485	27.25	57.1	56.18	14.645	5.6	6.445	10.525	4
"ENSMUSG00000028444_Cntfr"	2.77	2.76	42.44	40.33	44.07	56.365	55.35	52.065	8
"ENSMUSG00000025092_Hspa12a"	1.175	4.18	22.07	36.04	34.29	50.25	57.125	54.04	9
"ENSMUSG00000019297_2610027L16Rik"	57.14	43.94	26.48	18.315	13.6	7.74	7	4.68	2
"ENSMUSG00000091264_AC167669.3"	3.315	3.02	12.28	8.23	22.655	39.42	51.435	57.095	10
"ENSMUSG00000025353_Ormdl2"	55.835	39.14	32.23	16	7.975	3.34	3.775	3.325	2
"ENSMUSG00000000486_Sep-01"	51.89	49.29	3.05	3.575	0.965	0.075	0.125	0.21	1
"ENSMUSG00000041362_4930506M07Rik"	1.7	4.15	8.08	9.16	57.115	38.36	21.295	8.96	8
"ENSMUSG00000027750_Postn"	0.015	0.03	2.51	20.525	14.895	31.77	22.565	50.975	10
"ENSMUSG00000050459_4930470H14Rik"	22.24	57.47	22.69	20.58	5.46	3.75	2.965	3.765	3
"ENSMUSG00000022034_Esco2"	57.435	45.85	13.84	3.755	2.915	0.145	0.14	0.08	1
"ENSMUSG00000007440_Pcdha1"	0.15	0.53	3.56	10.875	56.26	57.485	48.58	37.02	8
"ENSMUSG00000064329_Scn1a"	0.105	0.07	0.25	0.34	5.435	25.825	40.42	55.045	10
"ENSMUSG00000032101_Ddx25"	9.26	6.9	10.71	11.695	51.24	54.69	57.705	57.17	9
"ENSMUSG00000073894_Rbmxl2"	54.26	34.09	2.11	0.75	0.935	0.02	0.09	0.03	1
"ENSMUSG00000036928_Stag3"	29.92	57.96	9.07	1.885	7.955	1.66	0.88	1.52	2
"ENSMUSG00000007207_Stx1a"	3.58	2.65	5.05	7.865	57.51	41.765	27.295	16.875	8
"ENSMUSG00000040466_Blvrb"	54.625	35.54	17.13	12.42	4.805	5.145	6.41	5.385	1
"ENSMUSG00000042078_Svop"	0.91	1.71	5.05	34.145	48.205	57.12	56.35	56.11	8
"ENSMUSG00000023755_Rhebl1"	52.34	46.68	7.28	10.435	12.57	4.255	4.175	4.645	1
"ENSMUSG00000034586_C630004H02Rik"	2.275	0.74	4.35	12.57	31.135	55.245	56.805	56.46	10
"ENSMUSG00000028931_Kcnab2"	0.72	0.85	2.46	3.375	13.18	25.475	36.93	56.945	10
"ENSMUSG00000030329_C530028O21Rik"	6.1	4.94	0.92	1.745	33.03	45.445	45.505	56.84	10
"ENSMUSG00000031358_Msl3"	4.375	4.2	58.24	22.95	10.52	7.98	9.22	10.125	5
"ENSMUSG00000038916_6330407J23Rik"	1.785	3.32	18.65	47.77	57.705	41.52	37.345	35.835	7
"ENSMUSG00000024805_Pcgf5"	13.765	9.08	58.33	14.29	1.92	1.28	2.345	4.405	4
"ENSMUSG00000022265_Ank"	6.545	7.54	9.98	17.605	26.61	39.535	44.22	57.36	10
"ENSMUSG00000022762_Ncam2"	0.05	0.03	0.66	2.005	26.13	55.865	56.8	42.225	10
"ENSMUSG00000089682_Bcl2l2"	5.285	7.35	10.51	13.645	15.425	34.09	40.745	57.795	10
"ENSMUSG00000028467_Gba2"	5.3	6.35	17.38	26.495	29.96	42.755	51.785	58.095	10
"ENSMUSG00000013415_Igf2bp1"	53.92	58.64	51.2	28.415	5.32	0.17	0.135	0.115	3
"ENSMUSG00000038759_Nup205"	53.555	58.66	35.11	19.445	13.42	6.425	6.8	6.72	2
"ENSMUSG00000023972_Ptk7"	55.39	49.32	40.1	30.21	17.005	7.92	5.805	4.755	3
"ENSMUSG00000032482_Cspg5"	0.665	0.37	8.6	1.66	47.48	58.885	50.835	42.705	9
"ENSMUSG00000024197_Plin3"	43.835	58.95	40.08	21.395	5.1	1.9	1.42	2.07	3
"ENSMUSG00000022678_Nde1"	38.865	50.58	59	19.8	8.355	1.525	1.31	1.65	3
"ENSMUSG00000024525_Impa2"	53.7	50.52	8.82	4.395	2.72	2.595	3.87	4.085	1
"ENSMUSG00000022360_Atad2"	52.63	54.87	27.06	10.42	3.66	0.725	1.055	1.37	2
"ENSMUSG00000022150_Dab2"	4.64	59.23	47.68	28.21	8.385	1.39	0.55	0.765	4
"ENSMUSG00000043843_Tmem145"	0.73	1.27	2.85	10.91	59.01	36.05	27.32	35.23	8
"ENSMUSG00000025777_Gdap1"	0.2	0.07	4.1	11.47	49.595	56.26	56.695	58.525	9
"ENSMUSG00000039114_Nrn1"	0.49	0.24	1.56	20.535	58.695	45.825	35.22	30.8	8
"ENSMUSG00000015488_5930434B04Rik"	5.675	10.16	34.34	57.245	23.175	15.61	11.79	12.105	6
"ENSMUSG00000033581_Igf2bp2"	27.865	59.5	59.56	41.305	7.52	0.94	0.665	0.865	4
"ENSMUSG00000028524_Sgip1"	0.165	0.21	2.49	13.345	42.54	57.03	58.945	52.66	9
"ENSMUSG00000038390_Gpr162"	1.29	2.38	2.71	4.62	40.82	46.09	54.47	57.765	9
"ENSMUSG00000033676_Gabrb3"	1.54	1.35	3.59	12.56	59.59	54.22	46.665	40.675	8
"ENSMUSG00000041075_Fzd7"	29.01	59.7	19.85	13.11	2.94	0.945	0.775	0.59	2
"ENSMUSG00000040771_AI314976"	55.785	37.65	28.13	16.72	9.96	5.245	5.95	7.795	2
"ENSMUSG00000015112_Slc25a13"	49.315	59.78	20.06	5.655	2.03	0.525	0.755	0.895	2
"ENSMUSG00000058317_Ube2e2"	7.61	7.24	15.62	19.58	43.94	53.74	59.255	58.09	9
"ENSMUSG00000031146_Plp2"	42.805	59.79	26.93	15.965	3.01	0.56	0.655	0.645	2
"ENSMUSG00000017943_Gdap1l1"	3.435	1.54	7.49	37.295	54.72	58.75	54.6	53.18	8
"ENSMUSG00000006731_B4galnt1"	2.945	2.46	17.64	23.755	59.51	56.37	51.23	39.295	8
"ENSMUSG00000017561_Crlf3"	55.245	39.86	12.27	7.685	4.58	5.035	6.645	7.005	1
"ENSMUSG00000020424_Gatsl3"	51.415	25.48	4.82	1.895	2.955	1	0.745	0.975	1
"ENSMUSG00000030077_Chl1"	0.055	0.06	2.29	8.91	59.765	46	33.08	22.925	8
"ENSMUSG00000006445_Epha2"	54.51	27.06	3.52	1.335	2.045	0.265	0.24	0.315	1
"ENSMUSG00000036672_Cenpt"	40.935	60.13	31.36	29.955	22.3	12.91	9.76	7.16	3
"ENSMUSG00000018899_Irf1"	57.765	32.3	5.26	3.58	2.145	0.955	0.55	0.67	1
"ENSMUSG00000037235_Mxd4"	2.165	5.47	30.08	59.755	17.685	8.8	7.515	9.76	6
"ENSMUSG00000072419_Dppa2"	57.195	33.71	2.31	0.99	3.5	0.025	0.075	0.035	1
"ENSMUSG00000000605_Clcn4-2"	1.3	1.92	16.41	39.35	60.2	49.35	49.54	46.525	8
"ENSMUSG00000026203_Dnajb2"	4.975	3.45	12.89	14.565	36.735	55.5	60.415	56.175	9
"ENSMUSG00000079445_B3gnt7"	56.405	40.6	3.69	0.98	6.27	2.59	1.605	0.705	1
"ENSMUSG00000025422_Agap2"	0.255	0.15	2.43	8.495	60.62	52.33	40.03	31.73	8
"ENSMUSG00000051343_Rab11fip5"	1.995	3.41	21.04	13.495	23.71	36.405	46.145	59.56	10
"ENSMUSG00000025056_Nr0b1"	36.98	60.91	1.11	1.575	1.565	0.485	0.45	0.195	1
"ENSMUSG00000062044_Lmtk3"	2.4	2.07	5.82	22.525	60.78	55.43	48.96	47.51	8
"ENSMUSG00000041986_Elmod1"	0.08	0.02	2.15	14.255	41.33	58.025	55.995	60.8	9
"ENSMUSG00000018698_Lhx1"	0.04	1.7	26.27	60.61	22.22	21.58	17.32	11.815	6
"ENSMUSG00000019773_Fbxo5"	59.905	48.44	23.69	9.34	6.675	1.33	1.1	1.205	2
"ENSMUSG00000031442_Mcf2l"	2.99	4.48	6.7	24.505	60.67	59.54	42.935	33.75	8
"ENSMUSG00000037747_Phyhipl"	3.105	2.57	29.67	37.58	56.11	60.405	56.59	57.935	8
"ENSMUSG00000053110_Yap1"	44.185	57.09	61.15	34.7	8.01	2.22	1.71	2.31	3
"ENSMUSG00000031155_Pim2"	48.4	61.17	4.81	4.725	22.36	16.475	22.34	26.72	1
"ENSMUSG00000034574_Daam1"	4.615	5.6	12.54	25.715	61.045	42.955	35.135	30.575	8
"ENSMUSG00000020810_Cygb"	0.605	0.14	0.96	2.11	9.09	40.575	45.5	58.805	10
"ENSMUSG00000036989_Trim3"	4.845	6.25	7.94	13.205	42.355	46.29	50.395	61.03	9
"ENSMUSG00000018417_Myo1b"	12.32	19.04	51.03	60.82	10.315	3.685	2.73	1.895	5
"ENSMUSG00000001131_Timp1"	19.62	11.96	61.46	22.665	2.815	1.485	0.76	0.915	4
"ENSMUSG00000002006_Pdzd4"	55.31	50.8	5.06	15.68	61.095	32.675	25.52	26.905	1
"ENSMUSG00000006356_Crip2"	58.01	32.07	13.23	19.735	34.135	7.505	3.91	3.56	1
"ENSMUSG00000031897_Psmb10"	54.59	23.48	7.7	8.715	20.75	34.73	43.05	35.23	10
"ENSMUSG00000028528_Dnajc6"	6.165	10.44	1.66	6.465	36.815	57.375	61.17	60.42	10
"ENSMUSG00000043219_Hoxa6"	0.015	0	32.21	57.54	22.85	20.68	17.06	14.685	6
"ENSMUSG00000074476_Spc24"	61.205	56.15	39.31	11	6.615	1.105	0.775	0.58	2
"ENSMUSG00000067925_Cxx1a"	6.055	4.94	14.07	37.565	39.95	54.325	58.14	58.35	9
"ENSMUSG00000027712_Anxa5"	6.11	10.25	51.81	60.01	12.855	17.805	27.035	40.995	6
"ENSMUSG00000021476_Habp4"	3.37	3.9	13.48	8.875	20.575	44.705	52.405	61.34	10
"ENSMUSG00000053559_Smagp"	52.08	40.6	10.51	3.765	1.585	0.385	0.155	0.175	1
"ENSMUSG00000028678_Kif2c"	59.16	61.74	36.9	10.785	4.985	0.415	0.335	0.205	2
"ENSMUSG00000025104_Hdgfrp3"	3.545	2.61	21.01	37.45	61.205	41.77	33.72	26.26	7
"ENSMUSG00000037013_Ss18"	57.555	52.04	38.34	27.405	13.125	4.7	3.66	4.135	3
"ENSMUSG00000020431_Adcy1"	0.7	0.73	1.62	5.43	53.775	61.165	37.78	24.275	8
"ENSMUSG00000057335_Cep170"	5.565	6.82	25.24	57.035	53.275	36.245	33.61	30.385	7
"ENSMUSG00000081683_Fzd10"	1.895	1.83	62.22	16.495	6.94	2.68	2.315	2.095	5
"ENSMUSG00000031837_Necab2"	6.055	3.15	8.57	4.845	34.085	41.95	46.92	59.01	10
"ENSMUSG00000034648_Lrrn1"	0.895	1.3	34.17	60.565	26.54	17.525	15.43	14.395	6
"ENSMUSG00000037049_Smpd1"	6.125	6.88	20.03	27.47	35.4	56.33	62.32	52.57	9
"ENSMUSG00000015709_Arnt2"	2.605	4.13	19.78	31.07	62.025	39.275	31.66	32.99	7
"ENSMUSG00000040591_1110051M20Rik"	6.37	8.18	22.76	23.33	42.21	43.365	44.915	59.525	9
"ENSMUSG00000056158_Car10"	0.1	0.08	0.57	3.755	42.92	61.6	55.47	58.83	9
"ENSMUSG00000022812_Gsk3b"	7.98	10.79	29.32	55.095	49.65	61.85	58.6	48.045	8
"ENSMUSG00000000263_Glra1"	0.06	0.01	1.61	0.84	2.505	33.55	54.655	56.8	10
"ENSMUSG00000054863_Fam19a5"	2.195	2.49	5.4	9.065	55.09	60.78	60.47	61.445	9
"ENSMUSG00000025789_St8sia2"	0.14	0.31	18.14	41.775	62.265	15.885	7.03	3.655	7
"ENSMUSG00000038793_Lefty1"	61.48	55.3	0.85	0.39	6.855	0.02	0.085	0.02	1
"ENSMUSG00000031284_Pak3"	0.59	0.59	4.12	9.61	59.295	62.52	61.665	48.475	9
"ENSMUSG00000021556_Golm1"	21.275	21.04	62.99	52.12	14.01	3.745	2.135	1.975	5
"ENSMUSG00000027562_Car2"	29.815	62.99	36.33	23.135	10.765	5.8	6.305	10.635	3
"ENSMUSG00000047281_Sfn"	61.58	8.8	0.63	0.445	0.99	0.435	0.45	0.825	1
"ENSMUSG00000020657_Dnajc27"	5.635	9.76	8.56	5.425	17.9	40.355	53.605	62.865	10
"ENSMUSG00000041420_Meis3"	0.815	1.88	22.59	59.55	30.65	18.69	21.135	31.31	6
"ENSMUSG00000041263_Rusc1"	4.275	3.25	8.93	27.675	40.15	55.075	61.605	60.805	9
"ENSMUSG00000062753_AI413582"	9.79	4.76	10.88	10.295	31.69	46.105	50.715	63.085	10
"ENSMUSG00000030532_Hddc3"	11.285	7.7	24.74	15.88	38.805	52.225	61.115	60.81	10
"ENSMUSG00000027752_Exosc8"	58.26	63.43	39.16	21.89	20.125	8.525	7.12	6.365	2
"ENSMUSG00000024503_Spink3"	3.065	63.5	4.79	0.6	1.8	0.67	0.06	0.125	2
"ENSMUSG00000025764_Phf17"	63.645	54.88	29.55	16.32	9.01	5.785	6.025	6.73	2
"ENSMUSG00000028906_Epb4.1"	9.505	11.65	44.9	61.405	19.7	7.08	6.075	6.955	5
"ENSMUSG00000038576_Susd4"	3.325	5.99	7.63	12.54	23.42	53.505	62.565	61.9	10
"ENSMUSG00000022490_Ppp1r1a"	17.54	9.41	9.28	3.95	63.55	37.74	31.245	24.77	8
"ENSMUSG00000028955_Vamp3"	44.9	37.8	63.9	32.74	16.465	7.085	5.73	5.915	4
"ENSMUSG00000037544_Dlgap5"	59.885	60.53	34.97	9.635	4.535	0.285	0.095	0.085	2
"ENSMUSG00000031791_Tmem38a"	6.61	10.31	7.95	11.3	27.405	54.355	63.19	63.44	10
"ENSMUSG00000037907_Ankrd13b"	3.51	3.79	31.39	56.55	63.705	44.925	35.07	28.07	7
"ENSMUSG00000025395_Prim1"	62.52	44.83	38.99	17.095	13.185	5.1	4.985	5.93	2
"ENSMUSG00000010830_Kdelr3"	7	10.86	64.14	62.43	10.055	3.045	1.415	1.735	5
"ENSMUSG00000046402_Rbp1"	2.085	2.27	64.26	11.71	2.4	1.645	0.575	0.82	5
"ENSMUSG00000061666_Gdpd1"	3.55	2.81	23.72	53.87	63.835	59.945	53.43	39.8	7
"ENSMUSG00000022629_Kif21a"	5.825	10.77	27.74	26.915	48.33	49.425	56.065	62.155	9
"ENSMUSG00000026566_Mpzl1"	29.225	31.86	64.36	44.27	41.365	21.89	8.515	3.275	4
"ENSMUSG00000030854_Ptpn5"	0.375	1.36	4.22	23.4	64	38.91	26.765	28.49	8
"ENSMUSG00000039159_Ube2h"	4.495	8.55	30.57	61.37	56.795	53.015	49.21	47.035	7
"ENSMUSG00000028322_Exosc3"	62.33	37.29	25.01	17.205	11.14	6.295	6.995	7.63	1
"ENSMUSG00000021866_Anxa11"	60.025	53.01	6.8	6.32	3.595	0.57	0.36	0.53	1
"ENSMUSG00000038605_Samd10"	5.085	6.31	12.32	35.09	64.545	52.765	47.57	30.285	8
"ENSMUSG00000036777_Anln"	63.48	64.8	28.37	8.545	3.785	0.465	0.28	0.09	2
"ENSMUSG00000066000_2610305D13Rik"	61.74	49.92	2.65	1.725	1.805	0.105	0.18	0.075	1
"ENSMUSG00000000782_Tcf7"	57.45	55.77	19.99	4.245	2.81	0.37	0.58	0.6	1
"ENSMUSG00000030401_Rtn2"	8.42	6.94	16.05	45.93	64.67	53.745	44.785	39.65	8
"ENSMUSG00000056185_Snx32"	0.46	1.64	7.72	14.575	34.26	29.91	32.92	64.395	10
"ENSMUSG00000072244_Trim6"	60.91	54.56	5.14	1.615	1.765	0.07	0.075	0.055	1
"ENSMUSG00000048834_Vstm2a"	0.185	0.1	0.29	2.39	20.92	52.38	64.82	64.99	10
"ENSMUSG00000029522_Pla2g1b"	63.03	28.26	0.76	0.61	1.86	0	0.045	0.02	1
"ENSMUSG00000016918_Sulf1"	10.46	18.24	38.49	63.685	10.185	2.49	1.44	2.3	5
"ENSMUSG00000032126_Hmbs"	59.52	42.11	44.86	26.02	12.085	6.36	7.165	6.905	3
"ENSMUSG00000034850_Tmem127"	4.01	6.72	20.11	28.565	41.065	64.055	65.415	53.33	9
"ENSMUSG00000028480_Glipr2"	21.68	19.3	35.28	65.55	18.215	4.455	2.245	1.605	5
"ENSMUSG00000068101_Cenpm"	58.99	30.18	21.35	5.98	4.59	1.265	0.855	0.305	1
"ENSMUSG00000020601_Trib2"	2.85	3.55	10.49	38.53	65.435	50.385	39.865	26.475	7
"ENSMUSG00000021047_Nova1"	0.985	2.05	13.58	31.295	54.245	63.85	65.73	63.85	9
"ENSMUSG00000047085_Lrrc4b"	0.21	0.21	6.13	31.2	62.755	66.14	60.19	57.67	8
"ENSMUSG00000026930_Gpsm1"	3.8	5.02	18.32	44.45	65.38	58.235	49.215	38.935	8
"ENSMUSG00000032902_Slc16a1"	54.45	66.31	50.59	12.375	5.655	7.405	11.77	12.51	3
"ENSMUSG00000046982_Tshz1"	0.09	0.59	66.36	49.245	29.13	15.255	13.83	10.775	5
"ENSMUSG00000050966_Lin28a"	58.545	56.55	11.19	4.095	9.18	0.01	0.075	0.02	1
"ENSMUSG00000047264_Zfp358"	4.865	8.34	36.45	61.645	36.265	32.74	30.27	31.3	6
"ENSMUSG00000045994_B3gat1"	0.15	0.18	5.94	20.805	66.31	46.66	34.51	33.07	8
"ENSMUSG00000069227_Gprin1"	0.395	0.27	12.21	37.79	65.47	47.05	32.08	21.69	7
"ENSMUSG00000067860_Zic3"	58.895	45.01	5.26	6.74	8.93	1.215	0.87	0.655	1
"ENSMUSG00000062661_Ncs1"	2.295	3.31	16.16	43.78	66.23	65.86	59.45	56	8
"ENSMUSG00000038644_Pold1"	56.855	66.58	30.3	10.67	5.16	0.82	1.075	1.13	2
"ENSMUSG00000070880_Gad1"	0.865	2.12	1.66	15.4	41.48	49.225	47.78	66.62	9
"ENSMUSG00000026429_Ube2t"	61.895	57.79	13.11	3.46	3.415	1.79	1.645	1.59	1
"ENSMUSG00000036186_Fam69b"	11.76	8.68	13.39	21.445	43.21	56.445	65.295	65.985	10
"ENSMUSG00000079553_Kifc1"	54.54	66.88	32.8	11.955	6.945	1.74	1.35	0.795	2
"ENSMUSG00000053046_Brsk2"	0.73	1.03	13.29	41.895	48.215	55.785	65.48	59.95	8
"ENSMUSG00000028796_Phc2"	6.75	8.21	48.39	64.055	21.385	11.895	11.155	13.42	5
"ENSMUSG00000031451_Gas6"	10.5	12.24	2.15	1.695	25.855	48.185	54	62.94	10
"ENSMUSG00000056553_Ptprn2"	0.325	0.63	6.27	10.665	45.12	65.525	65.16	66.6	9
"ENSMUSG00000030302_Atp2b2"	0.2	0.31	0.63	1.63	13.885	53.21	65.29	64.78	10
"ENSMUSG00000020808_Fam64a"	42.29	41.78	67.24	19.55	8.46	0.825	0.4	0.315	4
"ENSMUSG00000010205_Raver1"	62.405	67.35	59.6	41.915	19.545	10.245	8.32	7.93	3
"ENSMUSG00000034312_Iqsec1"	5.32	6.11	10.96	12.345	18.77	42.44	53.36	66.55	10
"ENSMUSG00000003534_Ddr1"	14.705	6.58	41.85	65.98	18.65	9.05	9.085	10.91	5
"ENSMUSG00000022814_Umps"	65.845	35.92	26.09	12.82	9.26	5.795	6.06	5.805	1
"ENSMUSG00000029246_Ppat"	65.295	47.43	21.92	8.2	8.07	5.32	5.62	4.9	1
"ENSMUSG00000040390_Map3k10"	5.79	3.84	13.42	29.705	61.115	67.445	61.95	50.59	8
"ENSMUSG00000030538_Cib1"	61.405	42.18	29.07	14.91	8.285	5.68	5.81	6.885	2
"ENSMUSG00000003032_Klf4"	26.47	67.77	27.62	26.525	4.8	1.505	0.855	0.85	3
"ENSMUSG00000006360_Crip1"	56.845	24.1	5.83	8.515	2.9	1.175	0.745	1.17	1
"ENSMUSG00000000632_Sez6"	0.94	0.92	1.62	9.22	56.71	66.72	56.235	45.405	9
"ENSMUSG00000030825_Hsd17b14"	67.44	20.85	0.54	0.5	1.31	0.145	0.19	0.11	1
"ENSMUSG00000003849_Nqo1"	63.015	41.56	2.29	2.575	2.435	1.355	0.95	2.405	1
"ENSMUSG00000060572_Mfap2"	2.16	3.9	43.76	65.905	17.275	10.06	4.855	6.65	5
"ENSMUSG00000007817_Zmiz1"	4.235	5.6	31.73	46.605	67.685	57.805	36.83	22.235	7
"ENSMUSG00000031137_Fgf13"	3.42	2.26	9.73	13.92	68.08	55.3	56.365	52.71	8
"ENSMUSG00000049047_Armcx3"	2.53	3.79	20.59	25.43	62.905	62.345	60.91	68.095	9
"ENSMUSG00000051359_Ncald"	0.13	0.12	3.06	2.275	37.505	53.37	61.005	67.38	10
"ENSMUSG00000051674_Dcun1d4"	8.695	6.62	16.9	30.59	31.27	55.705	68.305	57.04	10
"ENSMUSG00000028211_Trp53inp1"	51.18	68.57	22.09	33.51	12.675	7.755	6.33	6.525	2
"ENSMUSG00000020897_Aurkb"	67.23	60.97	53.62	16.915	6.355	0.46	0.26	0.1	3
"ENSMUSG00000029712_Actl6b"	0.13	0.04	4.56	21.785	68.475	34.645	26.705	31.82	8
"ENSMUSG00000043439_E130012A19Rik"	60.605	31.74	25.18	28.55	14.98	7.87	8.35	6.26	2
"ENSMUSG00000001248_Gramd1a"	11.54	7.67	42.1	66.835	68.15	53	47.7	59.155	7
"ENSMUSG00000040811_Eml2"	13.13	12.66	10.07	11.22	20.925	60.3	68.215	61.065	10
"ENSMUSG00000024222_Fkbp5"	67.715	49.61	17.2	14.36	17.015	6.575	4.85	6.16	1
"ENSMUSG00000028351_Dbc1"	0.785	0.39	5.33	13.425	45.405	68.73	62.44	57.435	9
"ENSMUSG00000082229_Nap1l2"	0.75	0.72	3.09	27.72	42.945	62.14	68.3	65.28	9
"ENSMUSG00000021700_Rab3c"	0.08	0.03	2.44	26.745	64.62	62.995	64.22	66.56	9
"ENSMUSG00000038530_Rgs4"	0.055	0.3	5.46	4.905	34.105	44.525	64.375	68.94	10
"ENSMUSG00000010760_Phlda2"	65.46	6.61	3.56	5.515	1.025	0.06	0.1	0	1
"ENSMUSG00000042428_Mgat3"	2.51	2.15	10.74	24.88	60.015	68.07	63.245	56.23	8
"ENSMUSG00000046785_Epm2aip1"	2.76	4.72	11.44	19.155	56.095	68.415	66.075	57.945	9
"ENSMUSG00000028277_Ube2j1"	4.26	5.86	19.92	23.09	39.48	60.375	68.95	65.145	10
"ENSMUSG00000033863_Klf9"	46.22	69.85	10.41	3.575	2.245	3.395	3.8	3.81	1
"ENSMUSG00000024812_Tjp2"	54.8	69.86	28.8	8.595	4.265	1.19	1.005	1.06	2
"ENSMUSG00000039717_Ralyl"	0.085	0.02	0.4	1.64	50.51	68.785	65.48	64.885	9
"ENSMUSG00000057614_Gnai1"	10.235	6.29	10.24	12.9	61.14	69.99	64.03	47.16	9
"ENSMUSG00000031207_Msn"	69.385	63.42	66.03	32.025	12.32	4.335	2.965	5.1	3
"ENSMUSG00000003233_Dvl3"	7.135	11.86	35.22	66.46	28.21	17.45	17.31	17.01	6
"ENSMUSG00000031875_Cmtm3"	3.34	7.79	70.28	56.32	9.06	6.015	3.645	6.015	5
"ENSMUSG00000020331_Hcn2"	4.995	3.54	1.18	0.96	16.895	48.895	67.175	67.96	10
"ENSMUSG00000046598_Bdh1"	12.91	13.23	9.56	19.555	65.195	69.95	69	34.645	8
"ENSMUSG00000028651_Ppie"	67.94	43.37	38.57	22.055	17.295	7.435	7.46	7.955	2
"ENSMUSG00000052364_B630019K06Rik"	0.15	0.12	2.02	6.41	29.74	49.865	57.525	69.16	10
"ENSMUSG00000037259_6330439K17Rik"	0.305	0.21	0.8	2.155	23.205	62.695	59.065	68.895	10
"ENSMUSG00000058966_Fam57b"	4.195	1.99	4.56	18.795	63.055	68.975	65.745	54.72	9
"ENSMUSG00000032186_Tmod2"	1.55	2.05	6.95	13.695	51.105	69.02	59.175	42.65	9
"ENSMUSG00000024742_Fen1"	67.525	65.91	63.83	31.91	11.415	6.71	7.33	8.14	3
"ENSMUSG00000004885_Crabp2"	3.515	3.19	70.66	11.745	9.65	0.165	0.06	0.18	5
"ENSMUSG00000031383_Dusp9"	63.86	18.69	59.81	25.61	4.815	0.82	0.28	0.145	3
"ENSMUSG00000033685_Ucp2"	65.145	47.47	13.54	7.135	3.26	2	1.18	1.245	1
"ENSMUSG00000014592_Camta1"	4.175	5.33	7.27	15.64	56.225	69.295	61.16	65.59	9
"ENSMUSG00000022325_Pop1"	65.115	38.6	8.05	4.77	6.365	2.895	2.34	1.945	1
"ENSMUSG00000035776_Cd99l2"	2.515	3.81	20.78	24.015	62.415	69.915	59.11	55.53	8
"ENSMUSG00000020723_Cacng4"	0.585	1.31	16.84	39.38	70.185	37.715	17	9.12	7
"ENSMUSG00000027270_6330527O06Rik"	0.045	0.02	12.3	69.16	10.55	30.91	48.435	55.125	7
"ENSMUSG00000024556_Me2"	70.67	52.72	26.84	16.84	13.045	10.205	9.14	8.165	1
"ENSMUSG00000055044_Pdlim1"	59.075	71.46	70.5	33.825	7.26	2.18	1.105	1.59	3
"ENSMUSG00000004665_Cnn2"	40.305	12.71	21.48	68.15	18.93	3.025	1.79	2.75	5
"ENSMUSG00000010505_Myt1"	0.025	0.04	16.97	70.05	15.255	7.42	5.855	6.2	6
"ENSMUSG00000056596_Trnp1"	0.885	0.48	0.48	0.605	17.445	39.255	50.93	69.98	10
"ENSMUSG00000003352_Cacnb3"	8.64	7.24	23.95	47.2	71.885	30.925	22.895	21.725	7
"ENSMUSG00000017723_Wfdc2"	57.035	12.72	2.39	0.335	0.73	0	0.06	0.025	1
"ENSMUSG00000032192_Gnb5"	2.455	2.46	13	12.3	38.465	54.155	66.64	71.65	10
"ENSMUSG00000060424_2610017I09Rik"	0	0.17	72.01	52.18	36.975	22.8	22.05	24.325	6
"ENSMUSG00000029591_Ung"	69.62	58.82	13.47	5.35	4.665	1.255	1.72	0.99	1
"ENSMUSG00000027419_Pcsk2"	0.17	0.08	1.82	7.025	71.44	66.055	55.56	48.355	8
"ENSMUSG00000012483_Rpa3"	71.905	54.09	42.03	20.61	14.885	7.45	7.25	7.49	2
"ENSMUSG00000018659_Pnpo"	29.16	22.52	10.82	9.535	22.05	35.43	55.105	70.16	10
"ENSMUSG00000078429_Ctdsp2"	23.875	42.84	72.51	61.935	13.23	5.955	4.505	7.4	4
"ENSMUSG00000024968_Rcor2"	52.05	70.2	72.52	55.485	12.8	2.265	1.02	0.635	4
"ENSMUSG00000037887_Dusp8"	0.275	0.33	9.27	55.79	71.725	63.225	56.86	47.745	8
